0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,gesture
66,70,55,64,44,53,39,44,35,38,64,33,51,21,42,29,,,64,33,49,22,42,31,44,40,63,36,50,31,44,38,46,46,62,39,53,39,48,42,48,46,0
52,76,57,61,59,46,62,31,59,23,42,40,42,25,51,18,57,29,39,42,42,18,53,18,59,26,39,44,42,18,53,20,57,28,42,47,44,26,51,22,55,29,0
55,83,51,72,46,58,,,,,38,53,40,26,46,23,53,22,42,51,44,27,52,24,57,24,48,53,48,31,55,27,59,25,57,53,59,40,59,31,60,31,0
51,88,46,75,,,,,,,31,44,,,55,18,64,31,33,44,44,16,57,16,64,33,38,44,46,18,57,18,64,29,45,44,50,24,57,21,64,29,0
31,81,,,,,70,33,73,29,34,23,51,9,63,16,65,22,35,27,52,14,64,22,68,31,37,31,51,20,64,27,68,35,40,37,55,29,63,33,68,39,0
,,51,50,55,38,59,27,62,20,31,36,44,22,52,20,57,26,28,39,,,,,,,31,48,,,,,,,,,44,20,52,20,55,24,0
40,77,40,66,44,49,53,34,,,33,42,44,24,53,25,57,29,33,42,44,24,57,31,60,37,36,44,48,29,57,33,61,40,42,47,50,35,57,38,60,42,0
57,74,57,64,59,49,59,37,57,26,46,44,44,29,51,21,57,16,42,47,44,25,51,18,58,14,42,46,44,27,51,20,57,15,44,44,46,31,48,23,53,18,0
44,70,44,60,44,40,,,,,35,35,42,16,51,16,55,18,36,36,44,16,55,18,59,22,39,37,50,23,57,22,61,24,44,39,51,25,57,24,62,25,0
49,72,55,63,60,51,63,40,64,35,42,34,49,18,59,27,61,34,40,35,49,16,59,22,61,37,42,37,51,20,59,24,61,35,46,40,53,27,59,28,61,33,0
48,68,46,57,55,38,59,31,61,29,36,36,44,12,52,14,59,18,39,37,44,13,55,16,61,18,42,38,48,18,57,20,61,28,46,39,49,23,57,24,59,29,0
51,79,53,68,57,51,59,39,58,27,35,46,38,31,46,25,52,22,37,46,40,23,44,22,,,40,44,42,24,48,22,,,44,42,44,31,47,24,51,22,0
53,79,58,66,,,,,,,40,42,46,21,55,16,60,13,40,44,46,22,55,16,60,14,42,49,46,22,55,20,61,15,44,55,50,27,55,20,59,15,0
49,77,49,70,55,46,59,31,58,22,29,46,37,29,53,24,57,29,31,46,40,20,49,18,59,29,34,44,40,20,49,18,57,29,39,42,46,25,53,23,57,26,0
51,70,55,55,59,42,61,29,57,14,40,38,42,22,53,18,57,29,36,42,42,16,55,20,59,29,37,42,42,18,53,22,57,29,40,39,44,23,52,22,57,29,0
46,79,51,68,53,53,48,46,,,38,38,44,25,50,20,57,20,40,44,40,31,44,25,53,22,40,48,36,40,44,31,46,25,42,53,42,46,44,42,46,38,0
49,65,47,57,61,36,57,25,68,26,42,35,49,16,57,18,61,22,42,36,52,18,61,23,61,29,45,37,53,20,63,26,63,33,51,40,57,27,63,29,66,35,0
35,68,40,60,42,48,53,42,55,35,29,36,37,25,44,26,46,31,31,36,40,22,46,29,48,35,33,36,42,23,48,31,49,35,38,38,46,29,49,31,55,35,0
48,70,44,62,70,57,76,46,79,40,42,40,55,27,68,27,,,46,40,60,20,68,27,70,37,51,42,62,22,70,29,70,36,57,44,64,29,70,29,72,31,0
,,,,,,59,44,66,35,35,29,48,16,57,16,66,29,34,29,48,12,61,20,66,26,36,29,50,14,60,18,66,22,40,31,49,20,57,16,63,18,0
,,,,,,66,31,68,22,39,35,46,12,57,16,63,37,38,35,44,14,57,18,63,29,37,38,45,18,57,24,63,33,40,42,48,29,57,31,63,37,0
37,66,44,59,50,48,59,40,68,29,31,35,40,20,51,22,61,31,29,35,41,18,53,22,61,29,29,37,42,22,53,24,60,31,31,40,42,29,52,29,59,31,0
48,77,57,66,61,53,68,40,70,29,40,42,40,29,64,27,64,34,35,44,40,24,61,27,63,35,36,44,40,25,59,29,61,37,40,44,44,31,53,31,59,38,0
47,79,53,68,57,53,61,40,60,31,35,48,35,25,48,21,51,20,33,48,35,26,49,23,60,31,33,50,36,31,49,25,58,33,35,53,40,38,49,31,58,31,0
40,74,50,66,59,57,70,50,76,44,33,39,51,25,62,29,70,44,35,40,51,25,65,31,72,44,37,42,53,27,66,36,70,44,40,46,55,35,64,37,70,44,0
40,66,46,57,50,46,57,37,62,31,31,36,41,20,49,18,55,20,31,37,42,20,54,22,59,28,34,38,46,23,57,26,60,31,39,40,49,29,57,29,62,31,0
33,70,44,64,55,53,66,47,70,40,33,35,48,22,60,29,66,44,33,36,49,22,63,29,68,40,34,40,51,24,63,33,66,42,36,44,51,31,61,35,66,42,0
46,72,53,66,60,57,68,48,75,40,42,40,57,29,64,29,70,31,42,40,57,29,68,31,75,33,44,40,59,31,70,34,76,35,46,44,61,35,68,38,74,40,0
37,79,48,70,57,58,66,48,76,42,36,44,53,27,66,29,75,42,37,44,53,27,68,31,76,40,39,46,55,31,68,35,74,40,44,49,57,37,66,37,74,42,0
57,81,62,68,64,53,70,40,70,28,29,51,39,29,48,24,57,22,29,53,40,29,51,24,,,33,53,44,33,55,29,,,38,55,46,34,57,29,,,0
49,66,64,51,75,36,76,29,79,23,44,33,51,22,,,70,27,42,35,51,16,65,16,71,29,42,36,51,16,64,18,68,33,44,40,53,25,62,25,68,33,0
53,72,58,63,59,53,64,44,66,42,40,49,46,35,53,33,61,37,40,49,47,33,57,35,62,38,42,49,48,35,57,36,61,40,46,51,50,40,57,38,60,40,0
40,77,,,,,68,39,62,29,23,44,42,29,57,29,,,24,44,38,22,64,37,62,42,27,44,39,22,57,34,61,44,31,46,44,29,57,35,59,44,0
51,81,57,68,61,55,68,40,68,31,33,46,38,33,51,25,57,25,33,47,44,25,55,25,64,29,36,48,46,29,57,27,64,33,40,48,48,33,57,31,65,33,0
51,75,57,64,59,50,62,38,62,27,40,44,42,28,48,23,57,22,34,46,40,25,49,22,60,25,36,45,42,26,53,24,59,25,40,44,44,29,53,26,59,28,0
37,70,,,,,,,72,33,34,36,51,27,62,27,66,31,35,37,51,18,64,29,,,36,40,51,18,64,29,59,49,40,42,53,29,61,37,60,48,0
33,68,46,68,59,59,71,53,81,48,53,40,64,23,70,29,77,39,49,38,62,24,72,31,81,41,48,40,59,29,70,33,77,40,46,44,57,35,66,36,75,42,0
48,85,55,73,55,61,60,50,64,42,37,57,35,44,48,39,57,44,31,57,38,38,48,37,59,46,31,57,40,40,53,40,57,44,36,57,44,42,52,40,57,42,0
37,81,46,72,53,59,61,46,66,37,29,51,36,35,53,33,57,44,29,51,38,33,53,35,57,46,29,55,37,37,51,39,55,48,33,59,39,44,48,44,53,48,0
